Time,T,R,V
0.0,-0.05174807192088668,-0.02835111138489771,-0.03082399714834338
0.0025,-0.04195452355661049,-0.02153058331867266,-0.04709150369145934
0.005,-0.028974223845612716,-0.013683338700387314,-0.05939032022258879
0.0075,-0.013528925969926928,-0.005727766226268996,-0.06653875829724139
0.01,0.0034109481363534303,0.001489588019900427,-0.06769949839481675
0.0125,0.020700625569166353,0.007277397347150096,-0.062452145503794465
0.015,0.03711337159085269,0.011166703692100039,-0.05083461521666793
0.0175,0.051443172541094796,0.01295548601277469,-0.03334958238817555
0.02,0.06260886774518205,0.012726379595415229,-0.010935016064415893
0.0225,0.06975059271734968,0.01083576884755419,0.015099266881708654
0.025,0.07230991137652407,0.007875147056602408,0.04316431489224664
0.0275,0.07008630073342037,0.004608244084794607,0.07150688784363032
0.03,0.06326460051299418,0.0018897277476435238,0.09833745383041101
0.0325,0.05241048562502753,0.0005730733369359227,0.12196123792561842
0.035,0.038433749372290306,0.0014163005279032193,0.14090194020233612
0.0375,0.02252196151988657,0.004994590867267777,0.1540083183045949
0.04,0.006049644352449537,0.011628286357648636,0.1605352257929575
0.0425,-0.009529735455613307,0.02133346930324635,0.16019279667972142
0.045,-0.02280012140655468,0.03380034629835774,0.15316009318472598
0.0475,-0.03249794220955497,0.04840217801393219,0.1400624657175293
0.05,-0.03761631600382983,0.06423473132488211,0.12191486220371416
0.0525,-0.03748964932917032,0.08018342892634096,0.10003611335742818
0.055,-0.03185150261593281,0.09501278694381159,0.07594157327929452
0.0575,-0.02086081138984833,0.10747059887208599,0.05122321030626554
0.06,-0.005094189645200604,0.11639784156985158,0.027427176042737984
0.0625,0.014495128674549974,0.12083458646682879,0.0059389536903568935
0.065,0.03664837617856992,0.1201123674635993,-0.012114602197304834
0.0675,0.05989654457039392,0.11392448061376731,-0.02593860079250075
0.07,0.08267207541373764,0.10236748747064875,-0.0351133174087808
0.0725,0.10342782514366797,0.08594961216967108,-0.03960443211868686
0.075,0.12075364236027145,0.0655645535141218,-0.039740363444829264
0.0775,0.13348117591405903,0.0424322307538788,-0.03615960543261963
0.08,0.14076860028218427,0.01801088195264141,-0.029733535839916635
0.0825,0.14215870136953965,-0.006112519941149686,-0.021472210017370073
0.085,0.13760605359157643,-0.028344603216542207,-0.012422013251276266
